This must be true because it's been believed for thousands of years.
I know this works because I tried it once and got better the next day.
The expert said so, therefore we don't need to examine the evidence further.
This conclusion feels right based on my personal experience and intuition.
If we can't explain it with current science, it must be supernatural.
The absence of evidence is actually evidence that proves the conspiracy is real.
This correlation obviously means one thing caused the other with no other explanation needed.
Everyone I know agrees with this, so it must be the correct answer.
The study supports my view, so I'll ignore the twelve studies that contradict it.
This happened after that, therefore it must have been caused by that.
My single observation disproves decades of accumulated scientific research.
The theory sounds complicated, so the simpler folk explanation must be better.
I can imagine a scenario where this is true, therefore it probably is true.
This hasn't been proven wrong yet, so we should assume it's correct.
The researcher has a degree, so everything they claim must be accurate regardless of evidence.
If you can't explain every single detail, then the entire theory is worthless.
Natural is always better than artificial, so this natural remedy must be superior.
The study found what we wanted, so we don't need to replicate or verify it.
This works for me, therefore it will work exactly the same for everyone else.
The mechanism is unknown, but the effect is real because I observed it once.
Prestigious journals rejected this groundbreaking research, which proves it threatens the establishment.
If the hypothesis was wrong, we would have found different results, but we didn't look.
Common sense tells us this is true, so we don't need rigorous testing.
The placebo group also improved, but our treatment must still be working somehow.
Correlation is strong enough evidence; we don't need to establish actual causation.
The effect disappeared when we controlled for confounds, but it still must be real.
I don't understand the statistics, but the conclusion matches my beliefs so it's valid.
This challenges current paradigms, which automatically makes it more likely to be true.
The sample size was only twelve people, but the results were dramatic so it's convincing.
If this were false, someone would have debunked it by now, so it must be legitimate.
